# T12 timeline started 2026-09-17T19:48:09+02:00, boot e16b31b6-fad4-46cb-962a-df9b60acfeae
20:07:01  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668417 level=on-mains percent=92 shutdown_at= ]
20:07:02  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668422 level=low percent=92 shutdown_at= ]
20:07:03  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668422 level=low percent=92 shutdown_at= ]
20:07:04  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668422 level=low percent=92 shutdown_at= ]
20:07:05  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668422 level=low percent=92 shutdown_at= ]
20:07:06  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668422 level=low percent=92 shutdown_at= ]
20:07:07  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668427 level=critical percent=92 shutdown_at=1789668727 ]
20:07:08  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668427 level=critical percent=92 shutdown_at=1789668727 ]
20:07:09  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668427 level=critical percent=92 shutdown_at=1789668727 ]
20:07:10  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668427 level=critical percent=92 shutdown_at=1789668727 ]
20:07:11  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668427 level=critical percent=92 shutdown_at=1789668727 ]
20:07:12  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668432 level=critical percent=92 shutdown_at=1789668727 ]
20:07:13  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668432 level=critical percent=92 shutdown_at=1789668727 ]
20:07:14  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668432 level=critical percent=92 shutdown_at=1789668727 ]
20:07:15  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668432 level=critical percent=92 shutdown_at=1789668727 ]
20:07:16  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668432 level=critical percent=92 shutdown_at=1789668727 ]
20:07:17  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668437 level=critical percent=92 shutdown_at=1789668727 ]
20:07:18  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668437 level=critical percent=92 shutdown_at=1789668727 ]
20:07:19  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668437 level=critical percent=92 shutdown_at=1789668727 ]
20:07:20  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668437 level=critical percent=92 shutdown_at=1789668727 ]
20:07:21  shutdown=(st) "poweroff" 1789668727121393  vendor=inactive,inactive  status=[version=1 updated=1789668437 level=critical percent=92 shutdown_at=1789668727 ]
20:07:22  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668442 level=on-mains percent=92 shutdown_at= ]
20:07:23  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668442 level=on-mains percent=92 shutdown_at= ]
20:07:24  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668442 level=on-mains percent=92 shutdown_at= ]
20:07:25  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668442 level=on-mains percent=92 shutdown_at= ]
20:07:26  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668442 level=on-mains percent=92 shutdown_at= ]
20:07:27  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668447 level=on-mains percent=92 shutdown_at= ]
20:07:28  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668447 level=on-mains percent=92 shutdown_at= ]
20:07:29  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668447 level=on-mains percent=92 shutdown_at= ]
20:07:30  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668447 level=on-mains percent=92 shutdown_at= ]
20:07:31  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668447 level=on-mains percent=92 shutdown_at= ]
20:07:33  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668452 level=on-mains percent=92 shutdown_at= ]
20:07:34  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668452 level=on-mains percent=92 shutdown_at= ]
20:07:35  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668452 level=on-mains percent=92 shutdown_at= ]
20:07:36  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668452 level=on-mains percent=92 shutdown_at= ]
20:07:37  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668452 level=on-mains percent=92 shutdown_at= ]
20:07:38  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668457 level=on-mains percent=92 shutdown_at= ]
20:07:39  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668457 level=on-mains percent=92 shutdown_at= ]
20:07:40  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668457 level=on-mains percent=92 shutdown_at= ]
20:07:41  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668457 level=on-mains percent=92 shutdown_at= ]
20:07:42  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668457 level=on-mains percent=92 shutdown_at= ]
20:07:43  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668462 level=on-mains percent=92 shutdown_at= ]
20:07:44  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668462 level=on-mains percent=92 shutdown_at= ]
20:07:45  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668462 level=on-mains percent=92 shutdown_at= ]
20:07:46  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668462 level=on-mains percent=92 shutdown_at= ]
20:07:47  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668467 level=on-mains percent=92 shutdown_at= ]
20:07:48  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668467 level=on-mains percent=92 shutdown_at= ]
20:07:49  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668467 level=on-mains percent=92 shutdown_at= ]
20:07:50  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668467 level=on-mains percent=92 shutdown_at= ]
20:07:51  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668467 level=on-mains percent=92 shutdown_at= ]
20:07:52  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668472 level=on-mains percent=92 shutdown_at= ]
20:07:53  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668472 level=on-mains percent=92 shutdown_at= ]
20:07:54  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668472 level=on-mains percent=92 shutdown_at= ]
20:07:55  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668472 level=on-mains percent=92 shutdown_at= ]
20:07:56  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668472 level=on-mains percent=92 shutdown_at= ]
20:07:57  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668472 level=on-mains percent=92 shutdown_at= ]
20:07:58  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668472 level=on-mains percent=92 shutdown_at= ]
20:07:59  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668472 level=on-mains percent=92 shutdown_at= ]
